,Permutation Importance (F1),SHAP (DeepSHAP),PFI %,SHAP %
bwd_pkts_payload.tot,0.00018450991264595817,0.004380299238979046,0.03660284188615148,0.4634478257016521
fwd_iat.min,0.001384058471957772,0.004341190728990088,0.2745677599851626,0.4593100367215006
fwd_subflow_pkts,0.00020740324262591425,0.004249056870367845,0.04114439158116284,0.4495620185788099
flow_pkts_payload.tot,0.0,0.003845636730945431,0.0,0.4068790473343265
fwd_header_size_tot,0.00018450991264595817,0.0037541063390501787,0.03660284188615148,0.39719487764747147
bwd_pkts_tot,-0.000531377360618257,0.0035512938195122134,0.10541396521015928,0.37573674977152033
bwd_PSH_flag_count,0.0010485255428634987,0.003232444403660398,0.2080051641055531,0.34200159597476565
fwd_iat.avg,0.002897237336689784,0.0028467830555735695,0.5747502593261556,0.3011975541783728
bwd_bulk_bytes,0.0,0.0027713318334695787,0.0,0.2932146053150944
fwd_header_size_max,0.0008637884598271528,0.00274888185662225,0.17135725644617925,0.29083933541016166
fwd_init_window_size,-0.0016003527155901143,0.0022712222382180514,0.3174759370420269,0.24030162109032824
bwd_iat.avg,0.0050937513056944494,0.0021122608816939166,1.010491907865503,0.22348306805721024
bwd_pkts_payload.max,0.002128944859069115,0.0020598973750324706,0.4223373744172053,0.21794286361354823
bwd_data_pkts_tot,-0.000531377360618257,0.001973665242992906,0.10541396521015928,0.20881926453526498
bwd_iat.max,0.0023486000912840144,0.001936038959943451,0.465912300115941,0.20483829928217667
idle.avg,0.0032242113130031003,0.0017678544752653528,0.6396149410348689,0.1870439136732645
flow_ACK_flag_count,0.0,0.001533876074168759,0.0,0.16228834896562602
flow_iat.avg,0.0027693563999314774,0.0011449979344290474,0.5493814016789307,0.12114396167776595
fwd_pkts_tot,0.0004755368987969799,0.0011292215015724144,0.09433640538920914,0.11947477126272049
bwd_iat.std,0.0023124558008816853,0.0011182388727199852,0.4587420417395135,0.11831277862604098
fwd_iat.std,0.002354862082998177,0.0008547600251054356,0.4671545460707461,0.09043598473974
bwd_bulk_rate,0.0006369947724108593,0.0007439189455385002,0.1263662130803707,0.07870869066206575
payload_bytes_per_second,0.002325153229759902,0.0006695604593727259,0.46126094153695585,0.07084135629610888
fwd_bulk_bytes,0.0009649173826747903,0.0005972946874011646,0.1914190835861206,0.06319543690438313
idle.min,0.002791635382594526,0.0005951761538439766,0.5538010779342907,0.06297129016983638
active.std,0.0005537111338872469,0.0004450888556376906,0.10984451075626545,0.047091637154315205
flow_duration,-0.00014309041495430552,0.0004296079307628277,0.028386094594527914,0.045453712304510174
fwd_pkts_payload.tot,0.0,0.00017192272654884997,0.0,0.018189901981750287
flow_iat.tot,0.0,0.00016888511345128837,0.0,0.017868514079101904
idle.tot,0.00018450991264595817,0.0001375488539892567,0.03660284188615148,0.014553050792012339
fwd_iat.tot,0.0,0.00012063233862458958,0.0,0.012763236481054237
bwd_last_window_size,0.003858533286883681,0.00010462493494747486,0.7654509277409794,0.011069608711683722
bwd_iat.tot,0.0008038902069565923,7.095720575392017e-05,0.15947471719591813,0.00750746945137562
fwd_last_window_size,0.002283089142881667,1.495350077285045e-05,0.452916321462024,0.0015821219148993094
fwd_bulk_rate,0.002858916924165067,9.166632045629078e-07,0.5671483046097946,9.698551306152456e-05
bwd_iat.min,0.0004106411122286602,3.5718537218300294e-08,0.08146246175781435,3.779120445415761e-06
idle.std,0.0005771572367013755,0.0,0.11449571882332862,0.0
bwd_pkts_payload.min,0.0033055453866226436,0.0,0.6557498911519675,0.0
