Patience,F1-Score,AUC-ROC,PR-AUC,Accuracy,Precision,Recall,Final Train Loss,Final Val Loss
3,0.9905502736963412,0.9976377075832727,0.9974354909453664,0.9904609568125636,0.98136149564721,0.9999127526537734,0.03481793403625488,0.03502538055181503
5,0.9906078939786804,0.9976747996521862,0.9974777366068176,0.990519121710048,0.9814185814185814,0.9999709175512578,0.03433706983923912,0.03495322912931442
7,0.9905066482273794,0.9975783797261543,0.9973733217996672,0.9904173331394504,0.9813598995204385,0.9998255053075469,0.03419220820069313,0.0351879708468914
10,0.9906935200391851,0.9976759414670997,0.9974784924492954,0.9906063690562745,0.9815866853178795,0.9999709175512578,0.03381286561489105,0.03471915051341057
