Hidden Layers,F1-Score,AUC-ROC,PR-AUC,Accuracy,Precision,Recall,Final Train Loss,Final Val Loss
"(256, 32, 32)",0.9902778377911248,0.9976381224426913,0.9964146006600618,0.9901846735495129,0.9809667846136286,0.9997673404100625,0.03492753580212593,0.03582502901554108
"(256, 32, 64)",0.9903653671673603,0.9976571899059586,0.9974570484283606,0.9902719208957395,0.9809425995663585,0.9999709175512578,0.034721605479717255,0.03570668771862984
"(256, 32, 128)",0.9903365640796693,0.9976517442946099,0.9974516771375965,0.9902428384469972,0.9809140705237932,0.9999418351025157,0.034697603434324265,0.03564489260315895
"(256, 32, 256)",0.9903365640796693,0.9975828311127395,0.9973793844086287,0.9902428384469972,0.9809140705237932,0.9999418351025157,0.03504324331879616,0.036047305911779404
"(256, 64, 32)",0.9905648146814365,0.997558873298487,0.9954794298609158,0.9904754980369347,0.9813620276287247,0.9999418351025157,0.035354241728782654,0.03479599580168724
"(256, 64, 64)",0.9903894644323733,0.997441784408048,0.9971764153717482,0.9903010033444816,0.9814381175395511,0.9995055983713829,0.03442971780896187,0.03702143579721451
"(256, 64, 128)",0.9903161656627375,0.9976462060693848,0.9974279656291675,0.9902282972226262,0.9814904738781456,0.9993020212301876,0.03464069962501526,0.03631360083818436
"(256, 64, 256)",0.9903511045825052,0.9976253747135233,0.9974046613872871,0.9902573796713683,0.980914615011554,0.9999709175512578,0.036450862884521484,0.035799119621515274
"(256, 128, 32)",0.9903505487225278,0.9976449517645575,0.9974433836900793,0.9902573796713683,0.9809694998430768,0.9999127526537734,0.03467847406864166,0.035890039056539536
"(256, 128, 64)",0.9903337799098203,0.9975801622261026,0.9973645806713667,0.9902428384469972,0.9811886275405344,0.9996510106150938,0.03521858900785446,0.03730598837137222
"(256, 128, 128)",0.9903077609919784,0.9974880845798975,0.9972652770888257,0.990213755998255,0.9808855414812279,0.9999127526537734,0.036041539162397385,0.035776134580373764
"(256, 128, 256)",0.9905639991356336,0.9975986067659004,0.9973755335036705,0.9904754980369347,0.9814444761632886,0.9998545877562891,0.036077599972486496,0.03620575740933418
"(256, 256, 32)",0.9902934992367292,0.9974350586953128,0.9950034009855684,0.990199214773884,0.9808575585541893,0.9999127526537734,0.03698229789733887,0.03842604532837868
"(256, 256, 64)",0.9903362857348599,0.9975487876896451,0.9973351598214129,0.9902428384469972,0.9809415121255349,0.9999127526537734,0.03539836406707764,0.037367455661296844
"(256, 256, 128)",0.9902797978197945,0.9976312787424153,0.9974269175792729,0.9901846735495129,0.9807747161846083,0.9999709175512578,0.03620387241244316,0.03594329580664635
"(256, 256, 256)",0.9902937788018433,0.9976480465058677,0.9974475771077609,0.990199214773884,0.9808301240907146,0.9999418351025157,0.03762957453727722,0.03633621335029602
