Dropout Rates,F1-Score,AUC-ROC,PR-AUC,Accuracy,Precision,Recall,Final Train Loss,Final Val Loss
"(0.0, 0.2, 0.2)",0.990636434354202,0.9976217221744833,0.9974097225329188,0.9905482041587902,0.981474609653755,0.9999709175512578,0.03408980742096901,0.03456692397594452
"(0.0, 0.2, 0.3)",0.9906507051586787,0.9976766591189176,0.9974739498584096,0.9905627453831612,0.9815026261703585,0.9999709175512578,0.03400692716240883,0.03501635044813156
"(0.0, 0.2, 0.4)",0.9906070821448123,0.997677992505,0.9969355171102339,0.990519121710048,0.9815010419937766,0.9998836702050312,0.034266553819179535,0.03540020063519478
"(0.0, 0.2, 0.5)",0.9906221639608753,0.9976594984865559,0.9974599585543759,0.990533662934419,0.9814465947365416,0.9999709175512578,0.03421931713819504,0.03577608987689018
"(0.0, 0.3, 0.0)",0.9906218937724188,0.997696592247047,0.997349479852437,0.990533662934419,0.9814740808403745,0.9999418351025157,0.03390956297516823,0.03504924103617668
"(0.0, 0.3, 0.1)",0.9906932518872817,0.9976808825654143,0.9974846482798816,0.9906063690562745,0.9816141833442773,0.9999418351025157,0.03583456203341484,0.03477700427174568
"(0.0, 0.3, 0.2)",0.9906507051586787,0.9976836288417287,0.9974819046689682,0.9905627453831612,0.9815026261703585,0.9999709175512578,0.03431473299860954,0.034966833889484406
"(0.0, 0.3, 0.3)",0.9906647074077277,0.9974669292869159,0.9972390079442662,0.9905772866075323,0.9815581375431786,0.9999418351025157,0.03425996005535126,0.035135816782712936
"(0.0, 0.3, 0.4)",0.9905936244075999,0.9976547083615467,0.997455227862409,0.9905045804856769,0.9813905696997374,0.9999709175512578,0.03445766866207123,0.035027876496315
"(0.0, 0.3, 0.5)",0.9905648146814365,0.9976666961494554,0.9974684311385713,0.9904754980369347,0.9813620276287247,0.9999418351025157,0.034253478050231934,0.034864529967308044
"(0.0, 0.4, 0.0)",0.9907215306592899,0.9976388523584473,0.9974362089714892,0.9906354515050168,0.9816977414841676,0.9999127526537734,0.034251175820827484,0.03489663824439049
"(0.0, 0.4, 0.1)",0.9906507051586787,0.997665904068221,0.9974045731346324,0.9905627453831612,0.9815026261703585,0.9999709175512578,0.03436504676938057,0.03852791711688042
"(0.0, 0.4, 0.2)",0.9905928113520133,0.9976540774030833,0.9974541644238448,0.9905045804856769,0.9814730231230374,0.9998836702050312,0.03420457988977432,0.034986112266778946
"(0.0, 0.4, 0.3)",0.9906795165449386,0.997650832957151,0.9974509176217802,0.9905918278319035,0.9815311715003425,1.0,0.03436242416501045,0.03466302901506424
"(0.0, 0.4, 0.4)",0.9906647074077277,0.9976693591155706,0.9974709953337371,0.9905772866075323,0.9815581375431786,0.9999418351025157,0.03410837799310684,0.03519167751073837
"(0.0, 0.4, 0.5)",0.99063589477627,0.9976646607586485,0.9974668894933516,0.9905482041587902,0.9815295897684776,0.9999127526537734,0.034762367606163025,0.03545431047677994
"(0.0, 0.5, 0.0)",0.9906216235683929,0.9976757232535829,0.9974793458557335,0.990533662934419,0.9815015700827862,0.9999127526537734,0.03425826132297516,0.03563569486141205
"(0.0, 0.5, 0.1)",0.9906216235683929,0.9976763791628168,0.9974793379143497,0.990533662934419,0.9815015700827862,0.9999127526537734,0.03459421917796135,0.03701229393482208
"(0.0, 0.5, 0.2)",0.9906507051586787,0.9976264311037656,0.9974169544254682,0.9905627453831612,0.9815026261703585,0.9999709175512578,0.03561956435441971,0.03459157049655914
"(0.0, 0.5, 0.3)",0.9905930823861591,0.9976704992389063,0.9974733575328318,0.9905045804856769,0.9814455355103905,0.9999127526537734,0.0345856174826622,0.039014752954244614
"(0.0, 0.5, 0.4)",0.9905790838375108,0.997625918555738,0.9974220493044401,0.9904900392613059,0.9813900385328956,0.9999418351025157,0.034628890454769135,0.03550997003912926
"(0.0, 0.5, 0.5)",0.9906792480011526,0.997513294584505,0.9972920036779139,0.9905918278319035,0.9815586640022838,0.9999709175512578,0.03434786945581436,0.03635018691420555
"(0.1, 0.0, 0.0)",0.9906076233829842,0.9976727211261491,0.997475999388208,0.990519121710048,0.9814460651385836,0.9999418351025157,0.034912094473838806,0.03555508702993393
"(0.1, 0.0, 0.1)",0.9905936244075999,0.9976586987932221,0.9974590745888232,0.9905045804856769,0.9813905696997374,0.9999709175512578,0.034655094146728516,0.034769847989082336
"(0.1, 0.0, 0.2)",0.9906218937724188,0.9976607574432219,0.9974618817553955,0.990533662934419,0.9814740808403745,0.9999418351025157,0.0343419648706913,0.03587617725133896
"(0.1, 0.0, 0.3)",0.9906652453254199,0.9976642323666087,0.9974657671692023,0.9905772866075323,0.9815031541689264,1.0,0.03406927362084389,0.03495550528168678
"(0.1, 0.0, 0.4)",0.9904792083771444,0.9976463101014102,0.9974453944498185,0.9903882506907081,0.9811939957764968,0.9999418351025157,0.03466662019491196,0.035271450877189636
"(0.1, 0.0, 0.5)",0.990636434354202,0.9976215272201591,0.9974214573196922,0.9905482041587902,0.981474609653755,0.9999709175512578,0.03426031395792961,0.03478562831878662
"(0.1, 0.1, 0.0)",0.9907077924884387,0.9976109671237865,0.9973968960251547,0.9906209102806456,0.9816147082334132,0.9999709175512578,0.03448069095611572,0.03526650369167328
"(0.1, 0.1, 0.1)",0.99063589477627,0.9974890191765489,0.9972653177111868,0.9905482041587902,0.9815295897684776,0.9999127526537734,0.03502940386533737,0.03580038622021675
"(0.1, 0.1, 0.2)",0.9907363386206796,0.997662217697628,0.9964591079244364,0.9906499927293878,0.9816707588648432,0.9999709175512578,0.03468170762062073,0.03489091992378235
"(0.1, 0.1, 0.3)",0.9906647074077277,0.9976494467092671,0.9974499947589786,0.9905772866075323,0.9815581375431786,0.9999418351025157,0.03425668552517891,0.03520883619785309
"(0.1, 0.1, 0.4)",0.9906789794418913,0.9976000657516232,0.9957146362702298,0.9905918278319035,0.9815861596437137,0.9999418351025157,0.03476849943399429,0.0348941944539547
"(0.1, 0.1, 0.5)",0.9906078939786804,0.9976632766252367,0.997464830638523,0.990519121710048,0.9814185814185814,0.9999709175512578,0.03481312468647957,0.03519301116466522
"(0.1, 0.2, 0.0)",0.9906213533487964,0.9976564900157062,0.997030038731667,0.990533662934419,0.9815290624643143,0.9998836702050312,0.034822169691324234,0.03502638265490532
"(0.1, 0.2, 0.1)",0.9906789794418913,0.9976697105408272,0.997472075596043,0.9905918278319035,0.9815861596437137,0.9999418351025157,0.0342160239815712,0.03473525866866112
"(0.1, 0.2, 0.2)",0.9906361645730092,0.9976248537076072,0.9959511234991344,0.9905482041587902,0.981502098141646,0.9999418351025157,0.034525759518146515,0.036218393594026566
"(0.1, 0.2, 0.3)",0.9905933534046875,0.9976653940575595,0.9974667202130525,0.9905045804856769,0.9814180510361363,0.9999418351025157,0.03519435599446297,0.035725776106119156
"(0.1, 0.2, 0.4)",0.9905788124117664,0.9975789468275614,0.9958388599948604,0.9904900392613059,0.9814175206234123,0.9999127526537734,0.03469257056713104,0.035971324890851974
"(0.1, 0.2, 0.5)",0.9906792480011526,0.9976095394322504,0.997406667476242,0.9905918278319035,0.9815586640022838,0.9999709175512578,0.03432532399892807,0.03561495617032051
"(0.1, 0.3, 0.0)",0.9906076233829842,0.9976597682931911,0.997461041565111,0.990519121710048,0.9814460651385836,0.9999418351025157,0.034556251019239426,0.03498588129878044
